HGNC symbol,logFC,AveExpr,P.Value,adj.P.Val
MRPL1,-0.00479862576359213,3.8588748959819408,0.9343851735865268,0.9525236490936024
TTC9,0.04428000381617192,4.0416567834549815,0.774523590578576,0.8313135001000239
RAB3GAP2,0.03769657335882392,5.6833601785491155,0.471055116396205,0.5679358427514332
CBX6,-0.05861661998072254,6.3804962334027175,0.471556293703313,0.5683119864492102
SMYD4,0.026429056439235762,4.395593926557143,0.6368025439958724,0.718082244032886
DOCK2,-0.11110479463861456,6.195148631224839,0.4665959357496693,0.5638864423649138
AGA,-0.02610992008715751,4.183997321035096,0.7079999052963075,0.7778107364234689
DYNC1H1,0.02715894076948011,8.600036990685894,0.635766589348252,0.7170755786588613
STAU1,0.02785299592855406,6.849382804419917,0.4914324820409181,0.5877388475690833
TBKBP1,-0.03680443094448815,4.358318527826098,0.6415447978136446,0.7221285556743706
UBAP2,-0.03848350758375218,5.100657454208707,0.5078840613881814,0.6028170701176367
S100A13,0.07230819043536485,4.95255667788947,0.5271796277609165,0.6204130096647239
SMAD4,0.0559802150474793,6.125010930000789,0.466727723661862,0.5639861357854619
PLEKHF1,-0.00609245445549389,3.8302078103614066,0.9650870954211844,0.9750853068369169
GPC3,-0.11864657441294746,7.03998735596846,0.5077682627800304,0.6028117570700559
TRAP1,-0.05854282054592907,5.510915465825031,0.4783190146716414,0.5745740335319515
LUC7L2,-0.06557078324934551,5.095177944088004,0.5092974254387761,0.6040064776267355
TMED5,-0.08671403005584644,6.506372006684272,0.4783207364837865,0.5745740335319515
BAX,-0.06773425396475741,5.664521086334494,0.4729937137944503,0.5698157205004291
ILK,-0.04223991622476397,7.355019492451076,0.525976115606712,0.6194334886142248
ALDH1A2,0.08435385334107615,4.20252303398683,0.7175892946811908,0.7860066820843397
KCTD18,-0.03182385139893284,4.23058915074746,0.6869555225538198,0.7600843519401664
CANT1,0.04057736154158942,5.523311017405532,0.4826891486974485,0.5787106509369345
B3GLCT,0.0037663026219783,3.8946090483469,0.9556602945769668,0.96855806493363
ANKZF1,0.08202529673909975,5.492372952791871,0.4853760459023675,0.5814215052965113
TGOLN2,-0.03394097717582056,8.42634919572782,0.625297181243775,0.708406001742495
FBXL12,-0.02482871470146364,4.390283802513141,0.6381044962626854,0.7191724020238085
SLC35A2,0.04902979317432798,4.531373130051099,0.6104943147266347,0.6951489092402826
CDC14A,-0.03543030704904115,4.068625830080204,0.7796590885479799,0.8351806001691539
TRMT10C,-0.00260263530631288,3.9021457544513094,0.979890616105118,0.9857633261324577
ZPR1,-0.05613897004596691,5.314483853219311,0.49542792402991176,0.5913870601657324
TMEM167B,-0.04056795724047912,5.966752842965152,0.47082581547985336,0.5677049552578611
RIOK3,0.04339287143455728,6.135085103186776,0.4715051760693174,0.5683010116939874
EVI2A,-0.03047513470786267,4.022060907411565,0.8386313746921252,0.8805685048164409
COQ10B,0.06900368730185313,5.093947130434674,0.5213760704385082,0.6154155298582171
IL2RB,-0.03399858299667935,4.021369558048633,0.8495849943539816,0.8895027556781074
RPL31,0.02607811515635205,8.989054320778454,0.7011945169835503,0.7719718846632416
DHRS3,-0.11045245640241497,5.719792192518351,0.47449894742817966,0.5712121970154603
METRNL,0.0961998734882732,5.438548295737319,0.49338820540312733,0.5897021691031011
SRRT,-0.04985558101868026,6.521590255460012,0.4838036550756125,0.5798154401197434
TIMM23,-0.04694231458500209,4.978004314236786,0.5285668006694805,0.6218993168237311
ATXN3,0.04300673962073453,4.848611999718167,0.5524903741774733,0.6442432398890894
ANO9,0.06295637700177537,4.342387602387952,0.6720060381368027,0.7478567036448336
NT5C3A,-0.03737569892799364,4.445743066850707,0.6314971839392172,0.7133851978625877
GK5,0.05171892809240841,4.852505722344137,0.5550149617798747,0.6465846812730328
RPF2,-0.04847130377448749,4.504221984598883,0.6148512639480243,0.6987326825995291
TMUB2,-0.0321795039464714,5.566357837628133,0.48350073992381426,0.5794986523753703
SPRED2,-0.06721857793667674,5.914602750603378,0.4731536110785587,0.5699531416831002
HMGB1,0.03203206603440822,7.660943516915552,0.5532779146772913,0.6449612698337657
FOXRED1,-0.03508953886398913,4.376557603537318,0.6446340465983611,0.724628302212468
EIF4H,0.0346732567867587,7.503915696576619,0.5415613949776474,0.6341580064844291
TRIM37,0.03380960553416123,4.823638081102557,0.5579247448831212,0.6492213862951519
ANO10,-0.03620457042162872,5.064252796963492,0.5222422861806162,0.6161310351008965
QPRT,-0.02266551281658602,3.938787157406163,0.8711167051987481,0.90610858060669
HNRNPM,0.03418073742373906,7.405328188903557,0.5349558301985231,0.627891654716444
AGAP1,0.06312047270866827,5.5915594910908855,0.48575591568472687,0.5817837398460058
HAUS1,-0.00982182495287586,3.953040020008203,0.8739845297742793,0.9077819807739854
SEPSECS,-0.02691885444264219,4.077329802938719,0.781503412130602,0.8365688878943388
ZNF700,-0.02392254455728704,4.043290437118009,0.807647559614866,0.8565207704532789
NAA16,0.03503967623062021,4.389259883780962,0.6592259507673259,0.7373884378174177
CELF2,-0.05482196034994402,7.231651618011414,0.5260388319531276,0.6194587750591205
RFX1,-0.01916042184296795,4.071114632738649,0.7785506359160613,0.8343836164423666
CDR2L,0.07094006061488489,4.706512681656384,0.5845788610219027,0.673258972445906
RAN,-0.04903541455017279,7.3800553463534735,0.5372403923815967,0.6300315025516672
LUC7L3,0.05973574761104761,7.362509495548752,0.5329208750901879,0.6260413471239368
